Timestamp,Document Name,OCR Mode,Language,Engine Used,Fallback Used,Confidence,Processing Time (s)
2026-07-07 14:45:03,unnamed_document,auto,Auto,Ensemble (PaddleOCR+Tesseract+EasyOCR+Custom AI),Yes,21.27%,2.48
2026-07-07 14:45:06,unnamed_document,auto,Auto,Ensemble (PaddleOCR+Tesseract+EasyOCR+Custom AI),Yes,22.53%,2.67
2026-07-07 14:45:08,unnamed_document,auto,Auto,Ensemble (PaddleOCR+Tesseract+EasyOCR+Custom AI),Yes,19.15%,2.62
2026-07-07 14:45:11,unnamed_document,auto,Auto,Ensemble (PaddleOCR+Tesseract+EasyOCR+Custom AI),Yes,19.92%,2.54
2026-07-07 14:45:13,unnamed_document,auto,Auto,Ensemble (PaddleOCR+Tesseract+EasyOCR+Custom AI),Yes,24.55%,2.46
2026-07-07 14:45:16,unnamed_document,auto,Auto,Ensemble (PaddleOCR+Tesseract+EasyOCR+Custom AI),Yes,10.82%,2.76
2026-07-07 14:45:19,unnamed_document,auto,Auto,Ensemble (PaddleOCR+Tesseract+EasyOCR+Custom AI),Yes,13.57%,2.82
2026-07-07 14:45:22,unnamed_document,auto,Auto,Ensemble (PaddleOCR+Tesseract+EasyOCR+Custom AI),Yes,13.51%,2.93
2026-07-07 14:45:25,unnamed_document,auto,Auto,Ensemble (PaddleOCR+Tesseract+EasyOCR+Custom AI),Yes,16.80%,2.69
2026-07-07 14:45:28,unnamed_document,auto,Auto,Ensemble (PaddleOCR+Tesseract+EasyOCR+Custom AI),Yes,13.49%,2.91
2026-07-07 14:45:30,unnamed_document,auto,Auto,Ensemble (PaddleOCR+Tesseract+EasyOCR+Custom AI),Yes,24.19%,2.55
2026-07-07 14:45:33,unnamed_document,auto,Auto,Ensemble (PaddleOCR+Tesseract+EasyOCR+Custom AI),Yes,20.24%,2.67
2026-07-07 14:45:36,unnamed_document,auto,Auto,Ensemble (PaddleOCR+Tesseract+EasyOCR+Custom AI),Yes,16.80%,2.79
2026-07-07 14:45:38,unnamed_document,auto,Auto,Ensemble (PaddleOCR+Tesseract+EasyOCR+Custom AI),Yes,13.50%,2.81
2026-07-07 14:45:41,unnamed_document,auto,Auto,Ensemble (PaddleOCR+Tesseract+EasyOCR+Custom AI),Yes,9.33%,2.76
2026-07-07 14:45:44,unnamed_document,auto,Auto,Ensemble (PaddleOCR+Tesseract+EasyOCR+Custom AI),Yes,10.33%,2.56
2026-07-07 14:45:46,unnamed_document,auto,Auto,Ensemble (PaddleOCR+Tesseract+EasyOCR+Custom AI),Yes,16.80%,2.28
2026-07-07 14:45:49,unnamed_document,auto,Auto,Ensemble (PaddleOCR+Tesseract+EasyOCR+Custom AI),Yes,14.57%,2.75
2026-07-07 14:45:51,unnamed_document,auto,Auto,Ensemble (PaddleOCR+Tesseract+EasyOCR+Custom AI),Yes,14.73%,2.38
